Taxa,day,oxygen,Abundance
Oceanospirillales,Initial Control,1,6.610777187
Pseudomonadales,Initial Control,1,4.784443923
Alteromonadales,Initial Control,1,8.206003234
Alphaproteobacteria_unclassified,Initial Control,1,2.989583205
Gammaproteobacteria_unclassified,Initial Control,1,2.904422201
Rhodospirillales,Initial Control,1,21.67625242
Desulfobacterales,Initial Control,1,0.003702652
Flavobacteriales,Initial Control,1,0.943867791
Rhodobacterales,Initial Control,1,1.058650013
Bacteria_unclassified,Initial Control,1,6.407439863
Campylobacterales,Initial Control,1,0.189452378
Betaproteobacteriales,Initial Control,1,5.751761845
Caulobacterales,Initial Control,1,0.4103773
Planctomycetales,Initial Control,1,1.455142367
Nitrosopumilales,Initial Control,1,7.197030473
Bacteroidia_unclassified,Initial Control,1,0.247152043
Clostridiales,Initial Control,1,0.360700048
Rhizobiales,Initial Control,1,2.14445281
Bacteroidales,Initial Control,1,0.098737396
Sphingomonadales,Initial Control,1,1.856571591
Less than 0.5%,Initial Control,1,24.70347926
Oceanospirillales,Final Control,1,5.35415458
Pseudomonadales,Final Control,1,52.7416899
Alteromonadales,Final Control,1,1.470277154
Alphaproteobacteria_unclassified,Final Control,1,0.119172037
Gammaproteobacteria_unclassified,Final Control,1,4.233225331
Rhodospirillales,Final Control,1,0.056549121
Desulfobacterales,Final Control,1,18.68026917
Flavobacteriales,Final Control,1,0.400660996
Rhodobacterales,Final Control,1,0.011519265
Bacteria_unclassified,Final Control,1,0.137393421
Campylobacterales,Final Control,1,4.823849487
Betaproteobacteriales,Final Control,1,0.053407503
Caulobacterales,Final Control,1,0.004398265
Planctomycetales,Final Control,1,0.012566471
Nitrosopumilales,Final Control,1,0.060528504
Bacteroidia_unclassified,Final Control,1,2.282699529
Clostridiales,Final Control,1,7.698010937
Rhizobiales,Final Control,1,0.011728707
Bacteroidales,Final Control,1,0.046914827
Sphingomonadales,Final Control,1,0.001466088
Less than 0.5%,Final Control,1,1.799518704
Oceanospirillales,Day 0,1,7.333520768
Pseudomonadales,Day 0,1,8.321687574
Alteromonadales,Day 0,1,1.040262629
Alphaproteobacteria_unclassified,Day 0,1,3.220844945
Gammaproteobacteria_unclassified,Day 0,1,7.19956008
Rhodospirillales,Day 0,1,12.6245545
Desulfobacterales,Day 0,1,0.014884521
Flavobacteriales,Day 0,1,1.69518155
Rhodobacterales,Day 0,1,3.14270121
Bacteria_unclassified,Day 0,1,6.657515443
Campylobacterales,Day 0,1,0.254690691
Betaproteobacteriales,Day 0,1,9.443815068
Caulobacterales,Day 0,1,1.105589138
Planctomycetales,Day 0,1,4.301626547
Nitrosopumilales,Day 0,1,7.059810967
Bacteroidia_unclassified,Day 0,1,0.221613978
Clostridiales,Day 0,1,0.097989763
Rhizobiales,Day 0,1,1.054320232
Bacteroidales,Day 0,1,0.085585995
Sphingomonadales,Day 0,1,0.59414046
Less than 0.5%,Day 0,1,24.53010394
Oceanospirillales,Day 5,1,83.0641415
Pseudomonadales,Day 5,1,0.724941933
Alteromonadales,Day 5,1,5.240083974
Alphaproteobacteria_unclassified,Day 5,1,0.238520636
Gammaproteobacteria_unclassified,Day 5,1,0.868992317
Rhodospirillales,Day 5,1,2.348356262
Desulfobacterales,Day 5,1,0.001786671
Flavobacteriales,Day 5,1,0.180453815
Rhodobacterales,Day 5,1,0.049133464
Bacteria_unclassified,Day 5,1,0.805788815
Campylobacterales,Day 5,1,0.027693407
Betaproteobacteriales,Day 5,1,0.56615151
Caulobacterales,Day 5,1,0.018983384
Planctomycetales,Day 5,1,0.369840986
Nitrosopumilales,Day 5,1,3.015901376
Bacteroidia_unclassified,Day 5,1,0.024120064
Clostridiales,Day 5,1,0
Rhizobiales,Day 5,1,0.160353761
Bacteroidales,Day 5,1,0.000893336
Sphingomonadales,Day 5,1,0.036850098
Less than 0.5%,Day 5,1,2.257012685
Oceanospirillales,Day 10,1,62.7510646
Pseudomonadales,Day 10,1,3.022975646
Alteromonadales,Day 10,1,30.58322793
Alphaproteobacteria_unclassified,Day 10,1,0.023407285
Gammaproteobacteria_unclassified,Day 10,1,0.962919855
Rhodospirillales,Day 10,1,1.408946737
Desulfobacterales,Day 10,1,0.003435932
Flavobacteriales,Day 10,1,0.02512525
Rhodobacterales,Day 10,1,0.007730846
Bacteria_unclassified,Day 10,1,0.054115924
Campylobacterales,Day 10,1,0.018253387
Betaproteobacteriales,Day 10,1,0.030923385
Caulobacterales,Day 10,1,0.00601288
Planctomycetales,Day 10,1,0.039513214
Nitrosopumilales,Day 10,1,0.862418853
Bacteroidia_unclassified,Day 10,1,0.001717966
Clostridiales,Day 10,1,0.000644237
Rhizobiales,Day 10,1,0.006657118
Bacteroidales,Day 10,1,0.000644237
Sphingomonadales,Day 10,1,0.003650677
Less than 0.5%,Day 10,1,0.18661404
Oceanospirillales,Day 15,1,76.78318266
Pseudomonadales,Day 15,1,0.091556439
Alteromonadales,Day 15,1,10.51225223
Alphaproteobacteria_unclassified,Day 15,1,0.058079856
Gammaproteobacteria_unclassified,Day 15,1,0.134511333
Rhodospirillales,Day 15,1,0.06836483
Desulfobacterales,Day 15,1,0.002016662
Flavobacteriales,Day 15,1,0.041946562
Rhodobacterales,Day 15,1,0.013511633
Bacteria_unclassified,Day 15,1,0.04577822
Campylobacterales,Day 15,1,11.3140769
Betaproteobacteriales,Day 15,1,0.021779946
Caulobacterales,Day 15,1,0.002823326
Planctomycetales,Day 15,1,0.019561618
Nitrosopumilales,Day 15,1,0.700789926
Bacteroidia_unclassified,Day 15,1,0.003024992
Clostridiales,Day 15,1,0.001613329
Rhizobiales,Day 15,1,0.00524332
Bacteroidales,Day 15,1,0.001008331
Sphingomonadales,Day 15,1,0.003024992
Less than 0.5%,Day 15,1,0.175852897
Oceanospirillales,Day 115,1,71.16231005
Pseudomonadales,Day 115,1,0.067901785
Alteromonadales,Day 115,1,1.928509828
Alphaproteobacteria_unclassified,Day 115,1,0.027507658
Gammaproteobacteria_unclassified,Day 115,1,0.077071004
Rhodospirillales,Day 115,1,0.065919251
Desulfobacterales,Day 115,1,14.30422974
Flavobacteriales,Day 115,1,0.022551323
Rhodobacterales,Day 115,1,0.011151753
Bacteria_unclassified,Day 115,1,0.052537148
Campylobacterales,Day 115,1,1.196954828
Betaproteobacteriales,Day 115,1,0.031720542
Caulobacterales,Day 115,1,0.005204151
Planctomycetales,Day 115,1,0.013877737
Nitrosopumilales,Day 115,1,0.152407292
Bacteroidia_unclassified,Day 115,1,0.080540439
Clostridiales,Day 115,1,0.001734717
Rhizobiales,Day 115,1,0.014869004
Bacteroidales,Day 115,1,10.40681595
Sphingomonadales,Day 115,1,0.003221618
Less than 0.5%,Day 115,1,0.372964186
Oceanospirillales,Initial Control,2,3.544990517
Pseudomonadales,Initial Control,2,11.87352266
Alteromonadales,Initial Control,2,1.155399703
Alphaproteobacteria_unclassified,Initial Control,2,3.726241899
Gammaproteobacteria_unclassified,Initial Control,2,3.23262774
Rhodospirillales,Initial Control,2,12.77884529
Desulfobacterales,Initial Control,2,0.000622857
Flavobacteriales,Initial Control,2,8.723423471
Rhodobacterales,Initial Control,2,2.84863641
Bacteria_unclassified,Initial Control,2,4.009953255
Campylobacterales,Initial Control,2,0.003425713
Betaproteobacteriales,Initial Control,2,3.125496339
Caulobacterales,Initial Control,2,0.331671343
Planctomycetales,Initial Control,2,9.627500381
Nitrosopumilales,Initial Control,2,0.001557142
Bacteroidia_unclassified,Initial Control,2,5.458718596
Clostridiales,Initial Control,2,0.176579955
Rhizobiales,Initial Control,2,0.902831196
Bacteroidales,Initial Control,2,0
Sphingomonadales,Initial Control,2,0.234817082
Less than 0.5%,Initial Control,2,28.24313845
Oceanospirillales,Final Control,2,0.685601383
Pseudomonadales,Final Control,2,4.643121758
Alteromonadales,Final Control,2,0.08989874
Alphaproteobacteria_unclassified,Final Control,2,5.765374166
Gammaproteobacteria_unclassified,Final Control,2,1.941220054
Rhodospirillales,Final Control,2,1.696221289
Desulfobacterales,Final Control,2,1.061990615
Flavobacteriales,Final Control,2,1.843418128
Rhodobacterales,Final Control,2,3.111879476
Bacteria_unclassified,Final Control,2,11.34897506
Campylobacterales,Final Control,2,1.632007903
Betaproteobacteriales,Final Control,2,1.478883675
Caulobacterales,Final Control,2,2.444060262
Planctomycetales,Final Control,2,1.985675475
Nitrosopumilales,Final Control,2,0.163003211
Bacteroidia_unclassified,Final Control,2,8.199555446
Clostridiales,Final Control,2,8.136329958
Rhizobiales,Final Control,2,4.436651025
Bacteroidales,Final Control,2,0.74388738
Sphingomonadales,Final Control,2,1.920474191
Less than 0.5%,Final Control,2,36.67177081
Oceanospirillales,Day 0,2,4.891658296
Pseudomonadales,Day 0,2,10.8280993
Alteromonadales,Day 0,2,1.143024295
Alphaproteobacteria_unclassified,Day 0,2,2.738622189
Gammaproteobacteria_unclassified,Day 0,2,2.035477355
Rhodospirillales,Day 0,2,14.91285199
Desulfobacterales,Day 0,2,0.009382623
Flavobacteriales,Day 0,2,7.760533375
Rhodobacterales,Day 0,2,4.686896339
Bacteria_unclassified,Day 0,2,4.178027
Campylobacterales,Day 0,2,0.004967271
Betaproteobacteriales,Day 0,2,6.612541808
Caulobacterales,Day 0,2,0.546951751
Planctomycetales,Day 0,2,5.75872308
Nitrosopumilales,Day 0,2,0.012142218
Bacteroidia_unclassified,Day 0,2,5.437506209
Clostridiales,Day 0,2,0.056847659
Rhizobiales,Day 0,2,0.686035345
Bacteroidales,Day 0,2,0.004415352
Sphingomonadales,Day 0,2,0.452573598
Less than 0.5%,Day 0,2,27.24272295
Oceanospirillales,Day 5,2,31.89141462
Pseudomonadales,Day 5,2,5.553668903
Alteromonadales,Day 5,2,0.124042425
Alphaproteobacteria_unclassified,Day 5,2,0.489020279
Gammaproteobacteria_unclassified,Day 5,2,19.17259771
Rhodospirillales,Day 5,2,3.838165745
Desulfobacterales,Day 5,2,0.193391792
Flavobacteriales,Day 5,2,10.05744558
Rhodobacterales,Day 5,2,11.50520299
Bacteria_unclassified,Day 5,2,3.987588608
Campylobacterales,Day 5,2,0.349249132
Betaproteobacteriales,Day 5,2,0.076498786
Caulobacterales,Day 5,2,3.925746131
Planctomycetales,Day 5,2,0.988049746
Nitrosopumilales,Day 5,2,0.071136722
Bacteroidia_unclassified,Day 5,2,1.082064609
Clostridiales,Day 5,2,0.230568772
Rhizobiales,Day 5,2,0.11474818
Bacteroidales,Day 5,2,0.016086193
Sphingomonadales,Day 5,2,0.187672256
Less than 0.5%,Day 5,2,6.14564082
Oceanospirillales,Day 10,2,34.06467631
Pseudomonadales,Day 10,2,0.205139944
Alteromonadales,Day 10,2,0.293182839
Alphaproteobacteria_unclassified,Day 10,2,2.75794367
Gammaproteobacteria_unclassified,Day 10,2,27.89330962
Rhodospirillales,Day 10,2,0.24211796
Desulfobacterales,Day 10,2,0.001760858
Flavobacteriales,Day 10,2,3.322738838
Rhodobacterales,Day 10,2,8.843028323
Bacteria_unclassified,Day 10,2,2.399168875
Campylobacterales,Day 10,2,0.010565147
Betaproteobacteriales,Day 10,2,0.628186052
Caulobacterales,Day 10,2,4.647784401
Planctomycetales,Day 10,2,0.383426806
Nitrosopumilales,Day 10,2,0.007923861
Bacteroidia_unclassified,Day 10,2,0.22935174
Clostridiales,Day 10,2,0.000440214
Rhizobiales,Day 10,2,1.829971562
Bacteroidales,Day 10,2,0.000440214
Sphingomonadales,Day 10,2,2.266224104
Less than 0.5%,Day 10,2,9.97261866
Oceanospirillales,Day 15,2,30.9978498
Pseudomonadales,Day 15,2,0.040455523
Alteromonadales,Day 15,2,1.363382974
Alphaproteobacteria_unclassified,Day 15,2,2.334634069
Gammaproteobacteria_unclassified,Day 15,2,17.91255873
Rhodospirillales,Day 15,2,0.088237636
Desulfobacterales,Day 15,2,0.001592737
Flavobacteriales,Day 15,2,12.71768735
Rhodobacterales,Day 15,2,11.0051764
Bacteria_unclassified,Day 15,2,3.121127658
Campylobacterales,Day 15,2,0.006689496
Betaproteobacteriales,Day 15,2,1.440789998
Caulobacterales,Day 15,2,8.158636617
Planctomycetales,Day 15,2,0.215019511
Nitrosopumilales,Day 15,2,0.00860078
Bacteroidia_unclassified,Day 15,2,0.339890101
Clostridiales,Day 15,2,0.000318547
Rhizobiales,Day 15,2,0.551724138
Bacteroidales,Day 15,2,0.001592737
Sphingomonadales,Day 15,2,0.759417058
Less than 0.5%,Day 15,2,8.934618141
Oceanospirillales,Day 115,2,5.503077235
Pseudomonadales,Day 115,2,15.87261909
Alteromonadales,Day 115,2,1.834298257
Alphaproteobacteria_unclassified,Day 115,2,39.59588145
Gammaproteobacteria_unclassified,Day 115,2,1.458060019
Rhodospirillales,Day 115,2,8.739236977
Desulfobacterales,Day 115,2,0.005473883
Flavobacteriales,Day 115,2,0.423131171
Rhodobacterales,Day 115,2,0.099077286
Bacteria_unclassified,Day 115,2,2.54645046
Campylobacterales,Day 115,2,3.851606676
Betaproteobacteriales,Day 115,2,4.358488259
Caulobacterales,Day 115,2,2.36745448
Planctomycetales,Day 115,2,0.368027413
Nitrosopumilales,Day 115,2,0.037587331
Bacteroidia_unclassified,Day 115,2,0.003466793
Clostridiales,Day 115,2,0.187389268
Rhizobiales,Day 115,2,4.141722485
Bacteroidales,Day 115,2,0.001094777
Sphingomonadales,Day 115,2,1.678657512
Less than 0.5%,Day 115,2,6.927199178